excerpt,type,personality,category,atomicnumber,symbol,elementname,period,group,groupname,color
"To receive love from an INTJ, notice the little things they are doing for you on a regular basis. If they are regularly setting time aside to relish in your presence, thatâs their way of implying that your company is valuable to them. This type is also prone to going out of their way to make sure you are happy and taken care of â whether that means running an errand for on a day when youâre busy or cooking you breakfast in the morning, appreciate these small acts of service â theyâre the INTJâs way of saying âI love youâ when they donât feel comfortable saying it explicitly.",INTJ,The Architect,Analysts,36,Lv,How They\nShow Love,6,G,Love,#dbe7e4
"For ESFPs the biggest deal breaker is someone who is unkind and ignores or neglects them. ESFPs need affection from their loved ones, and truly hate feeling ignored. They need to feel accepted for who they are, without someone who constantly puts them down for it. ESFPs just want life to be something they can cherish, without always focusing on the negativity around them. They arenât clueless to the ways of the world, they just choose to look on the brighter side of things. Someone who constantly brings them down, is someone the ESFP cannot tolerate.",ESFP,The Entertainer,Explorers,34,Db,Deal-breaker,4,G,Love,#dbe7e4
"To receive love from an ENTJ, notice the ways in which theyâre rearranging their schedule in order to spend time around you. They may not be quick to express their love overtly but theyâll do so by inviting you into their lives and sharing their interests with you. Also, be open to receiving physical affection from your ENTJ as you grow closer â they use touch as a method of expressing their love and appreciation for you.",ENTJ,The Commander,Analysts,36,Lv,How They\nShow Love,6,G,Love,#dbe7e4
Actually focuses 100% of their attention on you and listens to what you have to say...and modifies their opinions based on your evidence.,INTJ,The Architect,Analysts,39,Lov,When They\nLove You,5,H,Dates,#dbe7e4
They pick up on the little things you do and compliment you on them. They forgive you at your worst.,INFJ,The Advocate,Diplomats,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They take time off of work to spend time with you. Listen carefully to your ideas and help you reach your goals. And they let you cuddle them.,ENTJ,The Commander,Analysts,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
Act serious around you. Think hard about your relationship and plans out a future with you that deals with conflict in the most efficient way possible. They also give you starry-eyed looks.,ENFJ,The Protagonist,Diplomats,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They try to talk to you ALL THE TIME. They tell you how attractive/pretty/handsome you are whenever possible. They initiate physical affection and tell you about their emotions.,INFP,The Mediator,Diplomats,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They blush. They act childishly silly and goofy around you. They compliment you and remember little details about you.,INTP,The Logician,Analysts,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They admit they have feelings for you and say so often. They commit to you and help you with your plans and troubles. They initiate physical affection and plan a future with you.,ENTP,The Debater,Analysts,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
You become their universe. They relate everything to you and help you visualize your future and will conveniently include themselves in that future. They offer advice for the relationship's progression and they act mature and committed to you.,ENFP,The Campaigner,Diplomats,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
"They mention ""growing old"" with you. They tell you that you're what they've been looking for and that they'd like you to be their best friend...for as long as time on earth allows (may be less dramatic but same idea)",ISFP,The Adventurer,Explorers,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They say they love you. They mean it. And they act flustered and amazed around you.,ISTP,The Virtuoso,Explorers,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They tell you that you're their world. They do anything and everything for you if you ask. They'll fight for you and dote on you -- even at inopportune times.,ESTP,The Entrepreneur,Explorers,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They show you off to all of their friends and stick with you through thick and thin. They forgive you and sympathize with your problems. Show seriousness and loyalty.,ESFP,The Entertainer,Explorers,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They do all they can to help you. They ask how you're doing 100 times a day. They offer to fight someone for you. They think about your ideas/plans and try to apply them to their own lives.,ISFJ,The Defender,Sentinels,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They dote on you. They defend you and try to keep you as happy as possible. They show an incredibly affectionate side and say they love you.,ISTJ,The Logistician,Sentinels,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They take time off work to spend time with you. They plan vacations and breaks with you and present you with gifts and shower you with affection.,ESTJ,The Executive,Sentinels,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
They support you in every way. You disagree? They still support you because they love you. They want to see you succeed and will help you with ANYTHING. They help you with your daily tasks and talk about a future with you.,ESFJ,The Consul,Sentinels,39,Lo,When They\nLove You,5,H,Dates,#dbe7e4
"Surprisingly keeps it pretty private, but they want to make you a part of their social circle ASAP.",ENFJ,The Protagonist,Diplomats,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Makes it pretty obvious by their blushing and flirting.,ESFJ,The Consul,Sentinels,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
They're a giggly little snowman around their crush.,ENFP,The Campaigner,Diplomats,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Pppssshhh... everyone knows they have a crush.,ESFP,The Entertainer,Explorers,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Writes songs about you.,INFJ,The Advocate,Diplomats,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Quietly admires you from afar and stutters when they talk to you.,ISFP,The Adventurer,Explorers,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Stares intensely in your eyes and tries really hard to be nice.,INTJ,The Architect,Analysts,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
"Thinks of ""accidents"" so they run into you or somehow start a conversation, in which they get you to somehow be comfortable enough to reveal your darkest secret and they love you even more.",INFP,The Mediator,Diplomats,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
"Debates, argues, and tolerates you.",ISTJ,The Logistician,Sentinels,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Stares at you from afar and occasionally smirks -probably wants to kiss you.,ISTP,The Virtuoso,Explorers,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Stalks your online profiles.,INTP,The Logician,Analysts,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Tries to do little favors for you until you finally catch on.,ISFJ,The Defender,Sentinels,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Just wants to talk about themselves and see if you like that.,ESTJ,The Executive,Sentinels,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Shows off.,ESTP,The Entrepreneur,Explorers,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Tells you anything you want to hear to like them back.,ENTP,The Debater,Analysts,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
Wants to talk about both of you and how great you'd be.,ENTJ,The Commander,Analysts,38,Cu,When They Have \nA Crush On You,4,H,Dates,#dbe7e4
"They try to identify those with the potential for a deep, meaningful bond.",INFP,The Mediator,Diplomats,37,Da,Dating Style,7,G,Love,#dbe7e4
Theyâll stay single until someone stops them in their tracks.,ENTJ,The Commander,Analysts,37,Da,Dating Style,7,G,Love,#dbe7e4
They look for someone who inspires them.,ISFP,The Adventurer,Explorers,37,Da,Dating Style,7,G,Love,#dbe7e4
Theyâre willing to wait for someone who âgetsâ them.,INFJ,The Advocate,Diplomats,37,Da,Dating Style,7,G,Love,#dbe7e4
They chase anyone whoâs a little bit of a human puzzle.,ENFP,The Campaigner,Diplomats,37,Da,Dating Style,7,G,Love,#dbe7e4
They want someone to sweep them off their feet.,ISFJ,The Defender,Sentinels,37,Da,Dating Style,7,G,Love,#dbe7e4
They see dating as an adventure.,ESTP,The Entrepreneur,Explorers,37,Da,Dating Style,7,G,Love,#dbe7e4
Theyâre happy single until someone shows their life is better with company.,ISTP,The Virtuoso,Explorers,37,Da,Dating Style,7,G,Love,#dbe7e4
Theyâre waiting for someone who gives just as much as they do.,ESFJ,The Consul,Sentinels,37,Da,Dating Style,7,G,Love,#dbe7e4
Theyâre notoriously single â until they meet the right one.,INTJ,The Architect,Analysts,37,Da,Dating Style,7,G,Love,#dbe7e4
They just want to enjoy the ride.,ESFP,The Entertainer,Explorers,37,Da,Dating Style,7,G,Love,#dbe7e4
"They look for stable relationships, where they know what to expect.",ISTJ,The Logistician,Sentinels,37,Da,Dating Style,7,G,Love,#dbe7e4
They want to share everything with someone special.,ENFJ,The Protagonist,Diplomats,37,Da,Dating Style,7,G,Love,#dbe7e4
They only fall accidentally.,ENTP,The Debater,Analysts,37,Da,Dating Style,7,G,Love,#dbe7e4
They want to spend time with someone who just makes sense.,INTP,The Logician,Analysts,37,Da,Dating Style,7,G,Love,#dbe7e4
Theyâre a casual dater â until they find someone who makes them better.,ESTJ,The Executive,Sentinels,37,Da,Dating Style,7,G,Love,#dbe7e4
"ENFP: Warm, compassionate and affirming. Able to hold a long, meaningful conversation on pretty much any topic with pretty much any person (sparing you a lot of insufferable dinner party chit chat). Deep oracle of wisdom, but also acts like a child who views the world as one giant amusement park.",ENFP,The Campaigner,Diplomats,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"INFP: Deeply empathetic. Sees you in an incredible, artistic light that will transform the way you see yourself (for the better). Unprecedented balance of deeply insightful and hopelessly goofy.",INFP,The Mediator,Diplomats,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
INTP: Thoughtful and deliberate. Talking to them for five minutes is like taking a drug that makes you see everything differently and experience reality in a fun new way. Said drug cannot be overdosed on. Very self-sufficient and not needy.,INTP,The Logician,Analysts,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"ENTP: Hot brain. Has eight million solutions to your problem before you even finish explaining it. Maps out an exciting new life course every six months, making it hard for the relationship to grow stagnant.",ENTP,The Debater,Analysts,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"ESFP: Makes you feel like the most adored person on earth. Transforms life into a giant, non-stop adventure. Makes everything seem accessible and possible.",ESFP,The Entertainer,Explorers,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"ISFP: Is as calming as sitting by the ocean and watching the waves roll in. Looks at you like a masterpiece and loves you like the worldâs finest art connoisseur. Is unexpectedly witty, adventurous, committed and paradoxical in the most enticing way.",ISFP,The Adventurer,Explorers,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"ESTP: So fun they should be illegal. Tackles problems and makes your life a thousand times easier. Tells it like it is, then makes it better.",ESTP,The Entrepreneur,Explorers,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"ISTP: Extremely self-sufficient and capable. The absolute chillest of the chill. Kind of like an encyclopedia, but a fun one you can take on adventures.",ISTP,The Virtuoso,Explorers,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
INFJ: Incredibly supportive. Intrinsically driven to make you happier every day youâre with them. Shakes the foundation of your worldview in an affirming way.,INFJ,The Advocate,Diplomats,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
ENFJ: Basically a walking affirmation machine. Excellent at talking to anyone. Wise oracle sent from the future to help you sort out your issues.,ENFJ,The Protagonist,Diplomats,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"INTJ: Has read every book on the planet and can summarize them for you concisely. Can switch from intelligently discussing rocket science to reiki in seconds. Knows the secrets of life, the Universe and everything (probably).",INTJ,The Architect,Analysts,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
ENTJ: Inspires you to become the best version of yourself. Unexpectedly fun at parties. Genuinely motivated to see you thrive in all areas of your life and works relentlessly to make this happen.,ENTJ,The Commander,Analysts,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
ISFJ: Like a nicer version of your parents. Goes to the end of the earth to make you happy and comfortable. The human embodiment of a warm fireplace on a cold winter night.,ISFJ,The Defender,Sentinels,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
ESFJ: An unprecedented mix of fun and responsible. Massive hit at dinner parties. Invests in your relationship like a nerd with a bitcoin account in 2010.,ESFJ,The Consul,Sentinels,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
ISTJ: Has been an adult since before they learned to walk. Does anything to provide for the people they love. Incredibly stable and grounded. Will probably do your taxes.,ISTJ,The Logistician,Sentinels,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"ESTJ: Fierce and relentless provider. Great with people. Confidence levels are through the roof, but in a hard-earned and therefore sexy way.",ESTJ,The Executive,Sentinels,40,Pr,Pros of\nDating Them,6,H,Dates,#dbe7e4
"Doesnât believe in reality. High risk of leaving you to go find their authentic self (often located in Argentina, Bali, the Dolomite mountains, etc.) on zero notice.",ENFP,The Campaigner,Diplomats,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
Is sometimes writing the story of your relationship in their head and upset that you are not properly following the script. Cries whenever they see a picture of two animals hugging.,INFP,The Mediator,Diplomats,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
"Might forget they are a human for days at a time while researching, meditating, gaming, etc. and fail to communicate their existence to the outside world (including you). Unlikely to notice youâre upset until you have attached a large blimp to their house reading, âIâm upset!â May then fail to notice the blimp.",INTP,The Logician,Analysts,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
"Forgets you exist while in the throes of a new project. Then remembers you exist and is very, very excited about it. Then forgets again. Makes a lot of elaborate plans with you, then changes them without warning. Fails to understand why youâre not thrilled by this process.",ENTP,The Debater,Analysts,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
Texts you 800 times in a row.,ESFP,The Entertainer,Explorers,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
Hard to find. Hard to get to know once located. Turns you into artwork.,ISFP,The Adventurer,Explorers,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
"You may get whiplash trying to keep track of them. To hold their attention, you must be more fun than whatever outrageously fun thing theyâre currently doing.",ESTP,The Entrepreneur,Explorers,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
"Has a tendency to disappear for days or weeks at a time. If disappearing episodes are restricted, grumpiness levels rise. Is hard-pressed to commit to literally anything.",ISTP,The Virtuoso,Explorers,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
"A lot of unresolved existential dread. Might take a thousand years to think through an issue, then unexpectedly hit you with a masterâs thesis on whatâs wrong.",INFJ,The Advocate,Diplomats,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
Doesnât get to the point. Tries to make you grow into the best version of yourself when you just want to sit on the couch and watch TV.,ENFJ,The Protagonist,Diplomats,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
Not as cuddly as one would hope. Resting face kind of looks like theyâre planning to kill you (donât take it personally).,INTJ,The Architect,Analysts,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
"Probably a robot. Expects you to concede to their standards, some of which are just plain weird.",ENTJ,The Commander,Analysts,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
Favorite household chore is sweeping issues under the rug. Your actual parents will love them,ISFJ,The Defender,Sentinels,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
You must commit the next 100 years of your life to them on the first date. Usually stressed out.,ESFJ,The Consul,Sentinels,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
So responsible that you feel a little bad about yourself in comparison. Allergic to change.,ISTJ,The Logistician,Sentinels,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
Only ever wants socks for Christmas. Is baffled any time someone expresses an emotion.,ESTJ,The Executive,Sentinels,41,Co,Cons of\nDating Them,7,H,Dates,#dbe7e4
*diligently ignores problem until it's too big to manage*,INFP,The Mediator,Diplomats,42,Ss,In Stress,3,I,When...,#f0efeb
"""Exactly as i say, or else""",ESTJ,The Executive,Sentinels,42,Ss,In Stress,3,I,When...,#f0efeb
*lists and lists and lists and lists...*,ISFP,The Adventurer,Explorers,42,Ss,In Stress,3,I,When...,#f0efeb
"*vocalizes everything they're doing""",ESFJ,The Consul,Sentinels,42,Ss,In Stress,3,I,When...,#f0efeb
"""move b*tch, get out the way""",ISFJ,The Defender,Sentinels,42,Ss,In Stress,3,I,When...,#f0efeb
*too interested by the options to do anything*,ENTP,The Debater,Analysts,42,Ss,In Stress,3,I,When...,#f0efeb
"*cool headed, but harsh like ice*",ISTJ,The Logistician,Sentinels,42,Ss,In Stress,3,I,When...,#f0efeb
*heart rate over 9000*,ENFP,The Campaigner,Diplomats,42,Ss,In Stress,3,I,When...,#f0efeb
*never does anything despite completely understanding the problem*,INTP,The Logician,Analysts,42,Ss,In Stress,3,I,When...,#f0efeb
"""step aside or get crushed underfoot""",ENTJ,The Commander,Analysts,42,Ss,In Stress,3,I,When...,#f0efeb
*nothing like a full-blown crisis to get back into the zone*,ISTP,The Virtuoso,Explorers,42,Ss,In Stress,3,I,When...,#f0efeb
*assumes responsibility and approaches with logic*,ENFJ,The Protagonist,Diplomats,42,Ss,In Stress,3,I,When...,#f0efeb
*adrenaline rush or complete paralysis*,INFJ,The Advocate,Diplomats,42,Ss,In Stress,3,I,When...,#f0efeb
"*acts first, figures out later*",ESTP,The Entrepreneur,Explorers,42,Ss,In Stress,3,I,When...,#f0efeb
*devises a universal system to resolve the problem for all time*,INTJ,The Architect,Analysts,42,Ss,In Stress,3,I,When...,#f0efeb
*needs space to figure things*,ESFP,The Entertainer,Explorers,42,Ss,In Stress,3,I,When...,#f0efeb
Softcore,ISFJ,The Defender,Sentinels,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Bohemian,ESFJ,The Consul,Sentinels,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Retro,ISFP,The Adventurer,Explorers,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Seapunk,ESFP,The Entertainer,Explorers,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Vintage,INFJ,The Advocate,Diplomats,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Angelcore,ENFJ,The Protagonist,Diplomats,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Cottagecore,INFP,The Mediator,Diplomats,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Kidcore,ENFP,The Campaigner,Diplomats,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Minimalism,ISTJ,The Logistician,Sentinels,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Bloomcore,ESTJ,The Executive,Sentinels,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Adventurecore,ISTP,The Virtuoso,Explorers,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Goblincore,ESTP,The Entrepreneur,Explorers,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Light academia,INTJ,The Architect,Analysts,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Dark academia,ENTJ,The Commander,Analysts,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Grunge,INTP,The Logician,Analysts,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Dazecore,ENTP,The Debater,Analysts,60,Ae,Aesthetics,5,L,Random,#bcd4e6
Being volunteered to answer or participate without sufficient time to think or preparation time,INFJ,The Advocate,Diplomats,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
"Contention, competition, debate",ENFJ,The Protagonist,Diplomats,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
"Independent work-preferring the active, group work but will completely independent work if needed",ENFP,The Campaigner,Diplomats,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Providing a conclusion or solution without completely understanding,ENTJ,The Commander,Analysts,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Lectures and teacher-centered classes,ENTP,The Debater,Analysts,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
"Too much time for reflection, pondering and quiet",ESFP,The Entertainer,Explorers,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Observing environments with no participation,ESFJ,The Consul,Sentinels,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Observing environments with no participation,ESTP,The Entrepreneur,Explorers,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Being required to have patience,ESTJ,The Executive,Sentinels,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Memorizing â as they see no reason to do it,INTJ,The Architect,Analysts,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
"Group work, especially large group work",INFP,The Mediator,Diplomats,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Structured learning environments which stifles creativity and originality,INTP,The Logician,Analysts,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Learning theory and general concepts,ISFP,The Adventurer,Explorers,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Participating in group work,ISTP,The Virtuoso,Explorers,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Being forced to be the center of attention,ISFJ,The Defender,Sentinels,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
Being with people who are easily distracted,ISTJ,The Logistician,Sentinels,62,Cl,Classroom\nTrauma,7,L,Random,#bcd4e6
"Sees compliments as a constructive way to gauge what they are doing well. They may not see the appeal of meaningless compliments, but they definitely like to receive them in order to see what their strengths are. May not like to draw attention to themselves, so they would probably prefer private compliments that arenât overly effusive. Otherwise the ISTJ may get embarrassed.",ISTJ,The Logistician,Sentinels,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"This type tends to be sensitive to compliments, either viewing them as fake or too intrusive. Any compliments should be true and meaningful, but also rather infrequent. The ISFJ doesnât like to be in the limelight, and would rather help others than be praised. However, the ISFJ will really love compliments that make them feel appreciated (âI love when you do thisâ¦â, âYouâre always so helpfulâ, etc.).",ISFJ,The Defender,Sentinels,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"INFJâs love positive feedback and relish in compliments, but may appear extremely uncomfortable or dismissive when receiving them. This is because they have trouble appreciating their own positive qualities, donât want to become the center of attention, or donât want to make others think of them as prideful. They are also extremely good at detecting false flattery, so compliments should be truthful and accurate.",INFJ,The Advocate,Diplomats,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"This type is usually critical of themselves, so they may dismiss compliments (especially if they see them as inaccurate). They may react in an awkward manner, fumbling when they try to respond. However, they do appreciate compliments about things that they value in themselves (although not excessive, repeated compliments).",INTJ,The Architect,Analysts,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"ISTPâs prefer to give criticism rather than compliments, so receiving compliments may not be second nature to them. They may be awkward or unresponsive, so one of the best ways to compliment them would be to give them time to process and react to it alone (send them a note/email/etc. that they can read by themselves). Also does not appreciate excesses of compliments.",ISTP,The Virtuoso,Explorers,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"May be distrustful of compliments, often disagreeing with them since they are hard on themselves. However, they will probably be good at appearing thankful (and they will most likely be thankful that the other person is making an effort to be nice to them). However, being fairly shy, they will want to say thank you and then move out of the spotlight quickly.",ISFP,The Adventurer,Explorers,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"Really appreciate genuine compliments deep down, but may not appear comfortable with them on the outside. They dislike being in the spotlight, may have trouble discerning whether a compliment is genuine or not, and also may disagree if they have low self-esteem. However, genuine compliments mean a lot.",INFP,The Mediator,Diplomats,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"INTPâs usually enjoy being complimented by those who they are close to and whose opinion they respect. However, they must be genuine and be about something that the INTP values (intelligence is generally an important one). Gushing or insincere compliments, or compliments from strangers, will probably make the INTP uncomfortable. Whatever kind of compliment, the INTP will rarely show emotions and will move on from the topic.",INTP,The Logician,Analysts,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"ESTPâs generally have good confidence themselves, and will know what they are good at. Most ESTPâs will appreciate lighthearted compliments along the same lines or actions that reflect sentiments (instead of words). Genuine compliments having to do with emotional topics will be different. While they appreciate them deep down (and may even long for them on a fundamental level), they will brush them off and may come off as rude when responding.",ESTP,The Entrepreneur,Explorers,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"ESFPâs like generating a fun, positive, light-hearted atmosphere, so enthusiastic compliments along these lines will be appreciated. Overly deep or serious sentiments may make them feel uncomfortable, however, and they generally prefer to see these emotions expressed through actions. Seemingly small and insignificant compliments can go a long way in keeping the ESFP happy.",ESFP,The Entertainer,Explorers,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"This type loves to give and receive compliments; in fact, some ENFPâs are known to fish for compliments. They see them as a necessary quality of happy relationships and need the reassurance of what qualities the person they are around appreciates. However, the ENFP will still probably react with embarrassment on the outside.",ENFP,The Campaigner,Diplomats,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"Enjoy compliments which are logical, center around something the ENTP values in themselves, and genuine. They like compliments that have to do with work or achievements they have completed, rather than intrinsic qualities. If they feel comfortable with the compliment, they will have no problem expanding on what you have said (âOh yeah, I liked that too, I was thinking this when I did thatâ). However, if they disagree or feel uncomfortable, they will act embarrassed and withdrawn.",ENTP,The Debater,Analysts,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"May be uncomfortable receiving compliments, dismissing them or saying thank you quickly. However, they will appreciate compliments if they see them as logical, useful, and truthful. They dislike general, over-used compliments and would prefer to know what exact quality/action you appreciate.",ESTJ,The Executive,Sentinels,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"Definitely need positive affirmation from other people, so compliments are a great way to do this (they also tend to be pretty good about handing them out to others). They need to have a reassurance that they are liked and needed by the other person, and may even go fishing for compliments if they feel neglected.",ESFJ,The Consul,Sentinels,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"ENFJâs need constant affirmation from their loved ones, and especially like to hear it manifested in a compliment. As Fe doms, they especially like compliments that relate to their relationships with others (âYou make me happyâ, âWhen you talked with her, you made her feel a lot betterâ). They will also adjust their actions based off of your feedback, so compliments can be doubly useful.",ENFJ,The Protagonist,Diplomats,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"ENTJâs like to know that their accomplishments and qualities are appreciated and respected; however, first hand compliments may seem like an attempt to manipulate them, and they may be distrustful of them. If they hear that other people have been saying something positive about them, then they will really appreciate that.",ENTJ,The Commander,Analysts,45,Cp,Receiving\nCompliments,6,I,When...,#f0efeb
"Being around people who they have opened up to and feel close to, along with people they do not trust. That feeling of being with that one person that they can act like their true selves around, while simultaneously being surrounded by others, can be a very awkward experience. It can make their trusted friend confused because the INFJ no longer acts completely open and comfortable, making them wonder why. Their unique brand of guarded, can throw people off sometimes and this makes the INFJ feel uncomfortable. Sometimes being around too many people in general can make the INFJ feel drained. They have a strong sense of others emotions and being around large amounts of peopleâs feelings can be very draining all at once.",INFJ,The Advocate,Diplomats,46,Un,Feeling\nUncomfortable,7,I,When...,#f0efeb
"Any situation where the ENFJ is embarrassed in a public setting, makes them feel extremely awkward or shy. They care about how others perceive them and are very conscious of what others feel. Because of this the ENFJ can experience moments of intense discomfort, and social anxiety. Caring too much and simultaneously understanding too much, can make them feel awkward in certain situations. As much as they enjoy being around other people, sometimes being tossed into the spotlight can make them feel pressured.",ENFJ,The Protagonist,Diplomats,46,Un,Feeling\nUncomfortable,7,I,When...,#f0efeb
"Feeling like someone doesnât like them, might make the INFP feel awkward. They often understand others very easily, and will feel uncomfortable if someone is acting strangely. Knowing that someone harbors bad feelings towards the INFP, will make them no longer want to be around this person. INFPs arenât fans of faking it or being dishonest, and will not want to have to pretend around others. They often feel uncomfortable in large groups as well, since group settings often lack deeper and real connections. When there are too many people around the INFP may feel like they cannot consciously be aware of how everyone is feeling or perceiving them or others.",INFP,The Mediator,Diplomats,46,Un,Feeling\nUncomfortable,7,I,When...,#f0efeb
